"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0009272"	7.6563787144102e-05	10.5486111111111	1.24083769633508	7	15	"fungal-type cell wall biogenesis"
"2"	"GO:0030476"	0.000164566949897721	11.9178082191781	0.992670157068063	6	12	"ascospore wall assembly"
"3"	"GO:0070590"	0.000164566949897721	11.9178082191781	0.992670157068063	6	12	"spore wall biogenesis"
"4"	"GO:0070726"	0.000285548466929425	10.2035225048924	1.07539267015707	6	13	"cell wall assembly"
"5"	"GO:0048869"	0.000620826475326173	4.0060553633218	3.72251308900524	11	45	"cellular developmental process"
"6"	"GO:0010927"	0.000727138084908025	7.91780821917808	1.24083769633508	6	15	"cellular component assembly involved in morphogenesis"
"7"	"GO:0009653"	0.00282928629652064	4.08212560386473	2.6046511627907	8	32	"anatomical structure morphogenesis"
"8"	"GO:0051321"	0.00352101217910574	4.4089552238806	2.13006396588486	7	27	"meiotic cell cycle"
"9"	"GO:0000725"	0.00483097285490967	17.25	0.413612565445026	3	5	"recombinational repair"
"10"	"GO:0000296"	0.00676347591293753	Inf	0.16544502617801	2	2	"spermine transport"
"11"	"GO:0000707"	0.00676347591293753	Inf	0.16544502617801	2	2	"meiotic DNA recombinase assembly"
"12"	"GO:0045003"	0.00676347591293753	Inf	0.16544502617801	2	2	"double-strand break repair via synthesis-dependent strand annealing"
"13"	"GO:0061408"	0.00676347591293753	Inf	0.16544502617801	2	2	"positive regulation of transcription from RNA polymerase II promoter in response to heat stress"
"14"	"GO:0051028"	0.009087449878723	11.4868421052632	0.496335078534031	3	6	"mRNA transport"
"15"	"GO:0030435"	0.0129939388462264	9.11785714285714	0.550646551724138	3	7	"sporulation resulting in formation of a cellular spore"
"16"	"GO:0030437"	0.0130990614996847	3.70728190338861	2.06806282722513	6	25	"ascospore formation"
"17"	"GO:0000375"	0.0149608499447752	8.60526315789474	0.579057591623037	3	7	"RNA splicing, via transesterification reactions"
"18"	"GO:0034293"	0.0191449132459326	3.34637964774951	2.23350785340314	6	27	"sexual sporulation"
"19"	"GO:0051093"	0.0191974840970577	22.7272727272727	0.248167539267016	2	3	"negative regulation of developmental process"
"20"	"GO:0031505"	0.0204174220765984	2.94444444444444	2.89528795811518	7	35	"fungal-type cell wall organization"
"21"	"GO:0007049"	0.0225068630860192	2.64572137246796	3.61563876651982	8	49	"cell cycle"
"22"	"GO:0007088"	0.02252440142224	6.87631578947368	0.661780104712042	3	8	"regulation of mitotic nuclear division"
"23"	"GO:0007124"	0.0310845518621371	5.78	0.738170347003155	3	9	"pseudohyphal growth"
"24"	"GO:0010948"	0.0317998021077335	5.72368421052632	0.744502617801047	3	9	"negative regulation of cell cycle process"
"25"	"GO:0006097"	0.0363399586156058	11.3506493506494	0.330890052356021	2	4	"glyoxylate cycle"
"26"	"GO:0007094"	0.0363399586156058	11.3506493506494	0.330890052356021	2	4	"mitotic spindle assembly checkpoint"
"27"	"GO:0007126"	0.0407811185971033	5.003861003861	0.812236286919831	3	10	"meiotic nuclear division"
"28"	"GO:0070727"	0.0519251524575012	2.18277104487389	4.21884816753927	8	51	"cellular macromolecule localization"
"29"	"GO:0000398"	0.0561242149646603	7.65789473684211	0.408805031446541	2	5	"mRNA splicing, via spliceosome"
"30"	"GO:0009100"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"glycoprotein metabolic process"
"31"	"GO:0010965"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"regulation of mitotic sister chromatid separation"
"32"	"GO:0030307"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"positive regulation of cell growth"
"33"	"GO:0031145"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process"
"34"	"GO:0031577"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"spindle checkpoint"
"35"	"GO:0032434"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"regulation of proteasomal ubiquitin-dependent protein catabolic process"
"36"	"GO:0033045"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"regulation of sister chromatid segregation"
"37"	"GO:0033048"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"negative regulation of mitotic sister chromatid segregation"
"38"	"GO:0045595"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"regulation of cell differentiation"
"39"	"GO:0045841"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"negative regulation of mitotic metaphase/anaphase transition"
"40"	"GO:0051985"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"negative regulation of chromosome segregation"
"41"	"GO:0070085"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"glycosylation"
"42"	"GO:1902099"	0.0573459491227366	7.55844155844156	0.413612565445026	2	5	"regulation of metaphase/anaphase transition of cell cycle"
"43"	"GO:0044770"	0.0645107508961339	3.93607305936073	0.963041182682154	3	12	"cell cycle phase transition"
"44"	"GO:1903047"	0.078563828520092	2.8169014084507	1.67197452229299	4	21	"mitotic cell cycle process"
"45"	"GO:0007131"	0.0797912911801873	5.73684210526316	0.490566037735849	2	6	"reciprocal meiotic recombination"
"46"	"GO:0051983"	0.0810526315789474	Inf	0.0810526315789474	1	1	"regulation of chromosome segregation"
"47"	"GO:1901991"	0.0810526315789474	Inf	0.0810526315789474	1	1	"negative regulation of mitotic cell cycle phase transition"
"48"	"GO:0007093"	0.0814751987447434	5.66233766233766	0.496335078534031	2	6	"mitotic cell cycle checkpoint"
"49"	"GO:0051304"	0.0814751987447434	5.66233766233766	0.496335078534031	2	6	"chromosome separation"
"50"	"GO:1901799"	0.0814751987447434	5.66233766233766	0.496335078534031	2	6	"negative regulation of proteasomal protein catabolic process"
"51"	"GO:1903050"	0.0814751987447434	5.66233766233766	0.496335078534031	2	6	"regulation of proteolysis involved in cellular protein catabolic process"
"52"	"GO:1903363"	0.0814751987447434	5.66233766233766	0.496335078534031	2	6	"negative regulation of cellular protein catabolic process"
"53"	"GO:0000256"	0.0817610062893082	Inf	0.0817610062893082	1	1	"allantoin catabolic process"
"54"	"GO:0007062"	0.0817610062893082	Inf	0.0817610062893082	1	1	"sister chromatid cohesion"
"55"	"GO:0044270"	0.0821771611526148	Inf	0.0821771611526147	1	1	"cellular nitrogen compound catabolic process"
"56"	"GO:0000001"	0.0827225130890052	Inf	0.0827225130890052	1	1	"mitochondrion inheritance"
"57"	"GO:0000349"	0.0827225130890052	Inf	0.0827225130890052	1	1	"generation of catalytic spliceosome for first transesterification step"
"58"	"GO:0000709"	0.0827225130890052	Inf	0.0827225130890052	1	1	"meiotic joint molecule formation"
"59"	"GO:0006021"	0.0827225130890052	Inf	0.0827225130890052	1	1	"inositol biosynthetic process"
"60"	"GO:0006276"	0.0827225130890052	Inf	0.0827225130890052	1	1	"plasmid maintenance"
"61"	"GO:0006491"	0.0827225130890052	Inf	0.0827225130890052	1	1	"N-glycan processing"
"62"	"GO:0006493"	0.0827225130890052	Inf	0.0827225130890052	1	1	"protein O-linked glycosylation"
"63"	"GO:0006607"	0.0827225130890052	Inf	0.0827225130890052	1	1	"NLS-bearing protein import into nucleus"
"64"	"GO:0006971"	0.0827225130890052	Inf	0.0827225130890052	1	1	"hypotonic response"
"65"	"GO:0009231"	0.0827225130890052	Inf	0.0827225130890052	1	1	"riboflavin biosynthetic process"
"66"	"GO:0009442"	0.0827225130890052	Inf	0.0827225130890052	1	1	"allantoin assimilation pathway"
"67"	"GO:0010454"	0.0827225130890052	Inf	0.0827225130890052	1	1	"negative regulation of cell fate commitment"
"68"	"GO:0015719"	0.0827225130890052	Inf	0.0827225130890052	1	1	"allantoate transport"
"69"	"GO:0015798"	0.0827225130890052	Inf	0.0827225130890052	1	1	"myo-inositol transport"
"70"	"GO:0015837"	0.0827225130890052	Inf	0.0827225130890052	1	1	"amine transport"
"71"	"GO:0016337"	0.0827225130890052	Inf	0.0827225130890052	1	1	"single organismal cell-cell adhesion"
"72"	"GO:0016926"	0.0827225130890052	Inf	0.0827225130890052	1	1	"protein desumoylation"
"73"	"GO:0019805"	0.0827225130890052	Inf	0.0827225130890052	1	1	"quinolinate biosynthetic process"
"74"	"GO:0030261"	0.0827225130890052	Inf	0.0827225130890052	1	1	"chromosome condensation"
"75"	"GO:0030491"	0.0827225130890052	Inf	0.0827225130890052	1	1	"heteroduplex formation"
"76"	"GO:0031146"	0.0827225130890052	Inf	0.0827225130890052	1	1	"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"77"	"GO:0031589"	0.0827225130890052	Inf	0.0827225130890052	1	1	"cell-substrate adhesion"
"78"	"GO:0034087"	0.0827225130890052	Inf	0.0827225130890052	1	1	"establishment of mitotic sister chromatid cohesion"
"79"	"GO:0034204"	0.0827225130890052	Inf	0.0827225130890052	1	1	"lipid translocation"
"80"	"GO:0034224"	0.0827225130890052	Inf	0.0827225130890052	1	1	"cellular response to zinc ion starvation"
"81"	"GO:0035445"	0.0827225130890052	Inf	0.0827225130890052	1	1	"borate transmembrane transport"
"82"	"GO:0035998"	0.0827225130890052	Inf	0.0827225130890052	1	1	"7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
"83"	"GO:0036228"	0.0827225130890052	Inf	0.0827225130890052	1	1	"protein targeting to nuclear inner membrane"
"84"	"GO:0036297"	0.0827225130890052	Inf	0.0827225130890052	1	1	"interstrand cross-link repair"
"85"	"GO:0042726"	0.0827225130890052	Inf	0.0827225130890052	1	1	"flavin-containing compound metabolic process"
"86"	"GO:0043420"	0.0827225130890052	Inf	0.0827225130890052	1	1	"anthranilate metabolic process"
"87"	"GO:0043709"	0.0827225130890052	Inf	0.0827225130890052	1	1	"cell adhesion involved in single-species biofilm formation"
"88"	"GO:0044011"	0.0827225130890052	Inf	0.0827225130890052	1	1	"single-species biofilm formation on inanimate substrate"
"89"	"GO:0044419"	0.0827225130890052	Inf	0.0827225130890052	1	1	"interspecies interaction between organisms"
"90"	"GO:0045876"	0.0827225130890052	Inf	0.0827225130890052	1	1	"positive regulation of sister chromatid cohesion"
"91"	"GO:0046654"	0.0827225130890052	Inf	0.0827225130890052	1	1	"tetrahydrofolate biosynthetic process"
"92"	"GO:0046656"	0.0827225130890052	Inf	0.0827225130890052	1	1	"folic acid biosynthetic process"
"93"	"GO:0048026"	0.0827225130890052	Inf	0.0827225130890052	1	1	"positive regulation of mRNA splicing, via spliceosome"
"94"	"GO:0048639"	0.0827225130890052	Inf	0.0827225130890052	1	1	"positive regulation of developmental growth"
"95"	"GO:0050826"	0.0827225130890052	Inf	0.0827225130890052	1	1	"response to freezing"
"96"	"GO:0051177"	0.0827225130890052	Inf	0.0827225130890052	1	1	"meiotic sister chromatid cohesion"
"97"	"GO:0051409"	0.0827225130890052	Inf	0.0827225130890052	1	1	"response to nitrosative stress"
"98"	"GO:0051510"	0.0827225130890052	Inf	0.0827225130890052	1	1	"regulation of unidimensional cell growth"
