"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0009141"	1.07333513455766e-07	16.4657933042213	4.87434554973822	16	19	"nucleoside triphosphate metabolic process"
"2"	"GO:0009205"	1.07333513455766e-07	16.4657933042213	4.87434554973822	16	19	"purine ribonucleoside triphosphate metabolic process"
"3"	"GO:0009150"	3.47202564493929e-06	18.3157894736842	3.58208955223881	12	14	"purine ribonucleotide metabolic process"
"4"	"GO:0006526"	4.18964230357344e-06	Inf	2.30188679245283	9	9	"arginine biosynthetic process"
"5"	"GO:0046128"	7.92870141536826e-06	6.54276315789474	6.41361256544503	17	25	"purine ribonucleoside metabolic process"
"6"	"GO:0022900"	1.24542566530697e-05	16.6410256410256	3.33507853403141	11	13	"electron transport chain"
"7"	"GO:0042773"	1.24542566530697e-05	16.6410256410256	3.33507853403141	11	13	"ATP synthesis coupled electron transport"
"8"	"GO:0019637"	2.05964631744718e-05	5.20158102766798	7.2986577181208	18	29	"organophosphate metabolic process"
"9"	"GO:0009116"	3.51330405837143e-05	5.24229074889868	6.90566037735849	17	27	"nucleoside metabolic process"
"10"	"GO:0019344"	6.85727877455261e-05	Inf	1.79581151832461	7	7	"cysteine biosynthetic process"
"11"	"GO:0009086"	9.37845767110783e-05	6.57471264367816	4.87434554973822	13	19	"methionine biosynthetic process"
"12"	"GO:0016042"	0.000120472359666463	23.9324894514768	2.30890052356021	8	9	"lipid catabolic process"
"13"	"GO:0044763"	0.000187121621623142	2.42998027613412	25.234215885947	40	118	"single-organism cellular process"
"14"	"GO:0043436"	0.0002460047637535	1.93050829982472	43.0994764397906	62	168	"oxoacid metabolic process"
"15"	"GO:0009167"	0.000323492171182535	4.06404657933042	7.18324607329843	16	28	"purine ribonucleoside monophosphate metabolic process"
"16"	"GO:0006122"	0.000428073584259518	20.8529411764706	2.05235602094241	7	8	"mitochondrial electron transport, ubiquinol to cytochrome c"
"17"	"GO:1902600"	0.000442807390273654	8.98728813559322	3.07853403141361	9	12	"hydrogen ion transmembrane transport"
