"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:1901575"	4.30334333855735e-10	6.83809523809524	7.57456647398844	26	56	"organic substance catabolic process"
"2"	"GO:0030163"	6.96336588562166e-09	6.98230088495575	6.27906976744186	22	44	"protein catabolic process"
"3"	"GO:0043632"	9.08540976824712e-09	6.85344827586207	6.35811518324607	22	44	"modification-dependent macromolecule catabolic process"
"4"	"GO:0051603"	3.31992168353982e-07	6.90434782608696	4.7592788971368	17	34	"proteolysis involved in cellular protein catabolic process"
"5"	"GO:0006511"	0.000296166570995622	9.51282051282051	1.61038961038961	7	12	"ubiquitin-dependent protein catabolic process"
"6"	"GO:0005992"	0.000419943375835639	Inf	0.578010471204188	4	4	"trehalose biosynthetic process"
"7"	"GO:0009312"	0.000419943375835639	Inf	0.578010471204188	4	4	"oligosaccharide biosynthetic process"
"8"	"GO:0043161"	0.000979583218797391	5.73476702508961	2.38469713071201	8	17	"proteasome-mediated ubiquitin-dependent protein catabolic process"
"9"	"GO:0010499"	0.00104862777239809	9.23863636363636	1.44502617801047	6	10	"proteasomal ubiquitin-independent protein catabolic process"
"10"	"GO:0005984"	0.00228655307383302	10.2005012531328	1.15602094240838	5	8	"disaccharide metabolic process"
"11"	"GO:0051788"	0.00296137847255947	Inf	0.433507853403141	3	3	"response to misfolded protein"
"12"	"GO:0043170"	0.00304627155440092	2.19711538461538	15.0717703349282	25	90	"macromolecule metabolic process"
"13"	"GO:0044237"	0.00371345492128661	2.10294852573713	21.6869158878505	32	119	"cellular metabolic process"
"14"	"GO:0043248"	0.00941202358642093	8.33846153846154	0.987368421052632	4	7	"proteasome assembly"
"15"	"GO:0034622"	0.00963400367111604	2.89871504157218	4.56277056277056	10	31	"cellular macromolecular complex assembly"
"16"	"GO:0006461"	0.00989438709425923	3.37777777777778	3.2544878563886	8	23	"protein complex assembly"
"17"	"GO:0045899"	0.0105856837627309	18.1333333333333	0.578010471204188	3	4	"positive regulation of RNA polymerase II transcriptional preinitiation complex assembly"
"18"	"GO:0070682"	0.0105856837627309	18.1333333333333	0.578010471204188	3	4	"proteasome regulatory particle assembly"
"19"	"GO:0070897"	0.0105856837627309	18.1333333333333	0.578010471204188	3	4	"DNA-templated transcriptional preinitiation complex assembly"
"20"	"GO:0009628"	0.0120255725704089	3.21951219512195	3.3482428115016	8	24	"response to abiotic stimulus"
"21"	"GO:0034599"	0.0127527012822785	2.93023255813953	4.04607329842932	9	28	"cellular response to oxidative stress"
"22"	"GO:0006508"	0.0179793215280259	5.73818181818182	1.12995594713656	4	9	"proteolysis"
"23"	"GO:0046496"	0.0184883963110387	6.04511278195489	1.15978835978836	4	8	"nicotinamide nucleotide metabolic process"
"24"	"GO:0009117"	0.0205930045235594	3.590625	2.35604395604396	6	16	"nucleotide metabolic process"
"25"	"GO:0006552"	0.0207514241496263	Inf	0.289005235602094	2	2	"leucine catabolic process"
"26"	"GO:0009051"	0.0207514241496263	Inf	0.289005235602094	2	2	"pentose-phosphate shunt, oxidative branch"
"27"	"GO:0071465"	0.0207514241496263	Inf	0.289005235602094	2	2	"cellular response to desiccation"
"28"	"GO:0071629"	0.0207514241496263	Inf	0.289005235602094	2	2	"cytoplasm-associated proteasomal ubiquitin-dependent protein catabolic process"
"29"	"GO:0071470"	0.0233984870392859	9.10074626865672	0.71953781512605	3	5	"cellular response to osmotic stress"
"30"	"GO:0006458"	0.0236696650808801	9.05555555555556	0.722513089005236	3	5	"'de novo' protein folding"
"31"	"GO:0035967"	0.0236696650808801	9.05555555555556	0.722513089005236	3	5	"cellular response to topologically incorrect protein"
"32"	"GO:0060260"	0.0236696650808801	9.05555555555556	0.722513089005236	3	5	"regulation of transcription initiation from RNA polymerase II promoter"
"33"	"GO:2000144"	0.0236696650808801	9.05555555555556	0.722513089005236	3	5	"positive regulation of DNA-templated transcription, initiation"
"34"	"GO:0042026"	0.0285567628425962	3.80169172932331	1.87853403141361	5	13	"protein refolding"
"35"	"GO:0034637"	0.0415636239636517	6.08270676691729	0.860759493670886	3	6	"cellular carbohydrate biosynthetic process"
"36"	"GO:0006733"	0.0441805268804498	2.81118881118881	2.7455497382199	6	19	"oxidoreduction coenzyme metabolic process"
"37"	"GO:0034605"	0.0523828449421975	3.03383458646617	2.16753926701571	5	15	"cellular response to heat"
"38"	"GO:0006515"	0.0543488057683642	12.2706766917293	0.425420168067227	2	3	"misfolded or incompletely synthesized protein catabolic process"
"39"	"GO:0000411"	0.0563315155037599	12	0.433507853403141	2	3	"positive regulation of transcription by galactose"
"40"	"GO:0006740"	0.0563315155037599	12	0.433507853403141	2	3	"NADPH regeneration"
"41"	"GO:0009414"	0.0563315155037599	12	0.433507853403141	2	3	"response to water deprivation"
"42"	"GO:0019509"	0.0563315155037599	12	0.433507853403141	2	3	"L-methionine biosynthetic process from methylthioadenosine"
"43"	"GO:0050787"	0.0563315155037599	12	0.433507853403141	2	3	"detoxification of mercury ion"
"44"	"GO:0051131"	0.0563315155037599	12	0.433507853403141	2	3	"chaperone-mediated protein complex assembly"
"45"	"GO:0051346"	0.0563315155037599	12	0.433507853403141	2	3	"negative regulation of hydrolase activity"
"46"	"GO:0051604"	0.0563315155037599	12	0.433507853403141	2	3	"protein maturation"
"47"	"GO:0003333"	0.0607541013935924	3.45415778251599	1.58952879581152	4	11	"amino acid transmembrane transport"
"48"	"GO:0006099"	0.0607541013935924	3.45415778251599	1.58952879581152	4	11	"tricarboxylic acid cycle"
"49"	"GO:0005996"	0.0655824119102941	4.54580152671756	1.00643776824034	3	7	"monosaccharide metabolic process"
"50"	"GO:0032880"	0.0664472428824676	4.51666666666667	1.01151832460733	3	7	"regulation of protein localization"
"51"	"GO:0045936"	0.0664472428824676	4.51666666666667	1.01151832460733	3	7	"negative regulation of phosphate metabolic process"
"52"	"GO:0072524"	0.0691712530173376	2.43030303030303	3.03455497382199	6	21	"pyridine-containing compound metabolic process"
